CustomerID,Age,Annual Income (k$),Spending Score (1-100)
0001,19,15,39
0002,21,15,81
0003,20,16,6
0004,23,16,77
0005,31,17,40
0006,22,17,76
0007,35,18,6
0008,23,18,94
0009,64,19,3
0010,30,19,72
0011,67,19,14
0012,35,19,99
0013,58,20,15
0014,24,20,77
0015,37,20,13
0016,22,20,79
0017,35,21,35
0018,20,21,66
0019,52,23,29
0020,35,23,98
0021,35,24,35
0022,25,24,73
0023,46,25,5
0024,31,25,73
0025,54,28,14
0026,29,28,82
0027,45,28,32
0028,35,28,61
0029,40,29,31
0030,23,29,87
0031,60,30,4
0032,21,30,73
0033,53,33,4
0034,18,33,92
0035,49,33,14
0036,21,33,81
0037,42,34,17
0038,30,34,73
0039,36,37,26
0040,20,37,75
0041,65,38,35
0042,24,38,92
0043,48,39,36
0044,31,39,61
0045,49,39,28
0046,24,39,65
0047,50,40,55
0048,27,40,47
0049,29,40,42
0050,31,40,42
0051,49,42,52
0052,33,42,60
0053,31,43,54
0054,59,43,60
0055,50,43,45
0056,47,43,41
0057,51,44,50
0058,69,44,46
0059,27,46,51
0060,53,46,46
0061,70,46,56
0062,19,46,55
0063,67,47,52
0064,54,47,59
0065,63,48,51
0066,18,48,59
0067,43,48,50
0068,68,48,48
0069,19,48,59
0070,32,48,47
0071,70,49,55
0072,47,49,42
0073,60,50,49
0074,60,50,56
0075,59,54,47
0076,26,54,54
0077,45,54,53
0078,40,54,48
0079,23,54,52
0080,49,54,42
0081,57,54,51
0082,38,54,55
0083,67,54,41
0084,46,54,44
0085,21,54,57
0086,48,54,46
0087,55,57,58
0088,22,57,55
0089,34,58,60
0090,50,58,46
0091,68,59,55
0092,18,59,41
0093,48,60,49
0094,40,60,40
0095,32,60,42
0096,24,60,52
0097,47,60,47
0098,27,60,50
0099,48,61,42
0100,20,61,49
0101,23,62,41
0102,49,62,48
0103,67,62,59
0104,26,62,55
0105,49,62,56
0106,21,62,42
0107,66,63,50
0108,54,63,46
0109,68,63,43
0110,66,63,48
0111,65,63,52
0112,19,63,54
0113,38,64,42
0114,19,64,46
0115,18,65,48
0116,19,65,50
0117,63,65,43
0118,49,65,59
0119,51,67,43
0120,50,67,57
0121,27,67,56
0122,38,67,40
0123,40,69,58
0124,39,69,91
0125,23,70,29
0126,31,70,77
0127,43,71,35
0128,40,71,95
0129,59,71,11
0130,38,71,75
0131,47,71,9
0132,39,71,75
0133,25,72,34
0134,31,72,71
0135,20,73,5
0136,29,73,88
0137,44,73,7
0138,32,73,73
0139,19,74,10
0140,35,74,72
0141,57,75,5
0142,32,75,93
0143,28,76,40
0144,32,76,87
0145,25,77,12
0146,28,77,97
0147,48,77,36
0148,32,77,74
0149,34,78,22
0150,34,78,90
0151,43,78,17
0152,39,78,88
0153,44,78,20
0154,38,78,76
0155,47,78,16
0156,27,78,89
0157,37,78,1
0158,30,78,78
0159,34,78,1
0160,30,78,73
0161,56,79,35
0162,29,79,83
0163,19,81,5
0164,31,81,93
0165,50,85,26
0166,36,85,75
0167,42,86,20
0168,33,86,95
0169,36,87,27
0170,32,87,63
0171,40,87,13
0172,28,87,75
0173,36,87,10
0174,36,87,92
0175,52,88,13
0176,30,88,86
0177,58,88,15
0178,27,88,69
0179,59,93,14
0180,35,93,90
0181,37,97,32
0182,32,97,86
0183,46,98,15
0184,29,98,88
0185,41,99,39
0186,30,99,97
0187,54,101,24
0188,28,101,68
0189,41,103,17
0190,36,103,85
0191,34,103,23
0192,32,103,69
0193,33,113,8
0194,38,113,91
0195,47,120,16
0196,35,120,79
0197,45,126,28
0198,32,126,74
0199,32,137,18
0200,30,137,83
