CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV,CAT_MEDV
0.00733,18,3.31,0,0.438,7.474,74.3,4.09,1,397,14.3,4.98,34,0
0.03731,0,7.07,0,0.479,7.431,78.9,4.9771,3,343,17.8,9.14,31.7,0
0.03739,0,7.07,0,0.479,7.184,71.1,4.9771,3,343,17.8,4.03,34.7,1
0.03337,0,3.18,0,0.448,7.998,44.8,7.0733,3,333,18.7,3.94,33.4,1
0.07904,0,3.18,0,0.448,7.147,44.3,7.0733,3,333,18.7,4.33,37.3,1
0.03984,0,3.18,0,0.448,7.43,48.7,7.0733,3,333,18.7,4.31,38.7,0
0.08839,13.4,7.87,0,0.434,7.013,77.7,4.4704,4,311,14.3,13.43,33.9,0
0.14444,13.4,7.87,0,0.434,7.173,97.1,4.9404,4,311,14.3,19.14,37.1,0
0.31134,13.4,7.87,0,0.434,4.731,100,7.0831,4,311,14.3,39.93,17.4,0
0.17004,13.4,7.87,0,0.434,7.004,84.9,7.4931,4,311,14.3,17.1,18.9,0
0.33489,13.4,7.87,0,0.434,7.377,94.3,7.3477,4,311,14.3,30.44,14,0
0.11747,13.4,7.87,0,0.434,7.009,83.9,7.3377,4,311,14.3,13.37,18.9,0
0.09378,13.4,7.87,0,0.434,4.889,39,4.4409,4,311,14.3,14.71,31.7,0
0.73977,0,8.14,0,0.438,4.949,71.8,4.7074,4,307,31,8.37,30.4,0
0.73797,0,8.14,0,0.438,7.097,84.4,4.4719,4,307,31,10.37,18.3,0
0.73739,0,8.14,0,0.438,4.834,47.4,4.4987,4,307,31,8.47,19.9,0
1.04393,0,8.14,0,0.438,4.934,39.3,4.4987,4,307,31,7.48,33.1,0
0.7843,0,8.14,0,0.438,4.99,81.7,4.3479,4,307,31,14.77,17.4,0
0.80371,0,8.14,0,0.438,4.447,37.7,3.7974,4,307,31,11.79,30.3,0
